method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_010,75,0.6470588235294118,0.8235294117647058,0.07142857142857142,1.0,False
fc_openrouter_gpt_oss_120b,traj_010,90,0.7352941176470589,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,105,0.7058823529411765,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_010,120,0.7058823529411765,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,135,0.7058823529411765,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,150,0.6764705882352942,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,165,0.6764705882352942,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,180,0.6764705882352942,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,195,0.6176470588235294,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,210,0.5882352941176471,0.7647058823529411,0.058823529411764705,1.0,False
fc_openrouter_gpt_oss_120b,traj_010,225,0.5882352941176471,0.7647058823529411,0.058823529411764705,1.0,False
fc_openrouter_gpt_oss_120b,traj_010,240,0.5882352941176471,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,255,0.5,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,270,0.47058823529411764,0.7058823529411765,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_010,285,0.5588235294117647,0.7352941176470589,0.0,,False
fc_openrouter_gpt_oss_120b,traj_010,300,0.47058823529411764,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,15,1.0,1.0,,,True
fc_openrouter_gpt_oss_120b,traj_011,30,0.9411764705882353,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,45,0.9117647058823529,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,60,0.8529411764705882,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,75,0.7941176470588235,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,90,0.8235294117647058,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,105,0.7647058823529411,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,120,0.7352941176470589,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,135,0.7058823529411765,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,150,0.6764705882352942,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,165,0.6764705882352942,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,180,0.7058823529411765,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,195,0.7058823529411765,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,210,0.7058823529411765,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,225,0.7352941176470589,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_011,240,0.6470588235294118,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,255,0.6764705882352942,0.7941176470588235,0.0,0.0,False
