method_id,trajectory_id,checkpoint,visible_prefix_size,retrieved_evidence_count,visible_prefix_recall,visible_prefix_complete
fc_openrouter_gpt_oss_120b,traj_018,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_018,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_019,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_020,150,150,150,1.0,True
